HCP_ID,Channel,Priority
39,Medscape Email,4
39,EDH Alert,5
39,Medscape Alert,6
40,HQ Email,1
40,SF,2
40,Veeva Email,3
40,Medscape Email,4
40,EDH Alert,5
40,Medscape Alert,6
41,HQ Email,1
41,SF,2
41,Veeva Email,3
41,Medscape Email,4
41,EDH Alert,5
41,Medscape Alert,6
42,HQ Email,1
42,SF,2
42,Veeva Email,3
42,Medscape Email,4
42,EDH Alert,5
42,Medscape Alert,6
43,HQ Email,1
43,SF,2
43,Veeva Email,3
43,Medscape Email,4
43,EDH Alert,5
43,Medscape Alert,6
44,HQ Email,1
44,SF,2
44,Veeva Email,3
44,Medscape Email,4
44,EDH Alert,5
44,Medscape Alert,6
45,HQ Email,1
45,SF,2
45,Veeva Email,3
45,Medscape Email,4
45,EDH Alert,5
45,Medscape Alert,6
46,HQ Email,1
46,SF,2
46,Veeva Email,3
46,Medscape Email,4
46,EDH Alert,5
46,Medscape Alert,6
47,HQ Email,1
47,SF,2
47,Veeva Email,3
47,Medscape Email,4
47,EDH Alert,5
47,Medscape Alert,6
48,HQ Email,1
48,SF,2
48,Veeva Email,3
48,Medscape Email,4
48,EDH Alert,5
48,Medscape Alert,6
49,HQ Email,1
49,SF,2
49,Veeva Email,3
49,Medscape Email,4
49,EDH Alert,5
49,Medscape Alert,6
50,HQ Email,1
50,SF,2
50,Veeva Email,3
50,Medscape Email,4
50,EDH Alert,5
50,Medscape Alert,6
51,HQ Email,1
51,SF,2
51,Veeva Email,3
51,Medscape Email,4
51,EDH Alert,5
51,Medscape Alert,6
52,HQ Email,1
52,SF,2
52,Veeva Email,3
52,Medscape Email,4
52,EDH Alert,5
52,Medscape Alert,6
53,HQ Email,1
53,SF,2
53,Veeva Email,3
53,Medscape Email,4
53,EDH Alert,5
53,Medscape Alert,6
54,HQ Email,1
54,SF,2
54,Veeva Email,3
54,Medscape Email,4
54,EDH Alert,5
54,Medscape Alert,6
55,HQ Email,1
55,SF,2
55,Veeva Email,3
55,Medscape Email,4
55,EDH Alert,5
55,Medscape Alert,6
56,HQ Email,1
56,SF,2
56,Veeva Email,3
56,Medscape Email,4
56,EDH Alert,5
56,Medscape Alert,6
57,HQ Email,1
57,SF,2
57,Veeva Email,3
57,Medscape Email,4
57,EDH Alert,5
57,Medscape Alert,6
58,HQ Email,1
58,SF,2
58,Veeva Email,3
58,Medscape Email,4
58,EDH Alert,5
58,Medscape Alert,6
59,HQ Email,1
59,SF,2
59,Veeva Email,3
59,Medscape Email,4
59,EDH Alert,5
59,Medscape Alert,6
60,HQ Email,1
60,SF,2
60,Veeva Email,3
60,Medscape Email,4
60,EDH Alert,5
60,Medscape Alert,6
61,HQ Email,1
61,SF,2
61,Veeva Email,3
61,Medscape Email,4
61,EDH Alert,5
61,Medscape Alert,6
62,HQ Email,1
62,SF,2
62,Veeva Email,3
62,Medscape Email,4
62,EDH Alert,5
62,Medscape Alert,6
63,HQ Email,1
63,SF,2
63,Veeva Email,3
63,Medscape Email,4
63,EDH Alert,5
63,Medscape Alert,6
64,HQ Email,1
64,SF,2
64,Veeva Email,3
64,Medscape Email,4
64,EDH Alert,5
64,Medscape Alert,6
65,HQ Email,1
65,SF,2
65,Veeva Email,3
65,Medscape Email,4
65,EDH Alert,5
65,Medscape Alert,6
66,HQ Email,1
66,SF,2
66,Veeva Email,3
66,Medscape Email,4
66,EDH Alert,5
66,Medscape Alert,6
67,HQ Email,1
67,SF,2
67,Veeva Email,3
67,Medscape Email,4
67,EDH Alert,5
67,Medscape Alert,6
68,HQ Email,1
68,SF,2
68,Veeva Email,3
68,Medscape Email,4
68,EDH Alert,5
68,Medscape Alert,6
69,HQ Email,1
69,SF,2
69,Veeva Email,3
69,Medscape Email,4
69,EDH Alert,5
69,Medscape Alert,6
70,HQ Email,1
70,SF,2
70,Veeva Email,3
70,Medscape Email,4
70,EDH Alert,5
70,Medscape Alert,6
71,HQ Email,1
71,SF,2
71,Veeva Email,3
71,Medscape Email,4
71,EDH Alert,5
71,Medscape Alert,6
72,HQ Email,1
72,SF,2
72,Veeva Email,3
72,Medscape Email,4
72,EDH Alert,5
72,Medscape Alert,6
73,HQ Email,1
73,SF,2
73,Veeva Email,3
73,Medscape Email,4
73,EDH Alert,5
73,Medscape Alert,6
74,HQ Email,1
74,SF,2
74,Veeva Email,3
74,Medscape Email,4
74,EDH Alert,5
74,Medscape Alert,6
75,HQ Email,1
75,SF,2
75,Veeva Email,3
75,Medscape Email,4
75,EDH Alert,5
75,Medscape Alert,6
76,HQ Email,1
76,SF,2
76,Veeva Email,3
76,Medscape Email,4
76,EDH Alert,5
76,Medscape Alert,6
77,HQ Email,1
77,SF,2
77,Veeva Email,3
77,Medscape Email,4
77,EDH Alert,5
77,Medscape Alert,6
78,HQ Email,1
78,SF,2
78,Veeva Email,3
78,Medscape Email,4
78,EDH Alert,5
78,Medscape Alert,6
79,HQ Email,1
79,SF,2
79,Veeva Email,3
79,Medscape Email,4
79,EDH Alert,5
79,Medscape Alert,6
80,HQ Email,1
80,SF,2
80,Veeva Email,3
80,Medscape Email,4
80,EDH Alert,5
80,Medscape Alert,6
81,HQ Email,1
81,SF,2
81,Veeva Email,3
81,Medscape Email,4
81,EDH Alert,5
81,Medscape Alert,6
82,HQ Email,1
82,SF,2
82,Veeva Email,3
82,Medscape Email,4
82,EDH Alert,5
82,Medscape Alert,6
83,HQ Email,1
83,SF,2
83,Veeva Email,3
83,Medscape Email,4
83,EDH Alert,5
83,Medscape Alert,6
84,HQ Email,1
84,SF,2
84,Veeva Email,3
84,Medscape Email,4
84,EDH Alert,5
84,Medscape Alert,6
85,HQ Email,1
85,SF,2
85,Veeva Email,3
85,Medscape Email,4
85,EDH Alert,5
85,Medscape Alert,6
86,HQ Email,1
86,SF,2
86,Veeva Email,3
86,Medscape Email,4
86,EDH Alert,5
86,Medscape Alert,6
87,HQ Email,1
87,SF,2
87,Veeva Email,3
87,Medscape Email,4
87,EDH Alert,5
87,Medscape Alert,6
88,HQ Email,1
88,SF,2
88,Veeva Email,3
88,Medscape Email,4
88,EDH Alert,5
88,Medscape Alert,6
89,HQ Email,1
89,SF,2
89,Veeva Email,3
89,Medscape Email,4
89,EDH Alert,5
89,Medscape Alert,6
90,HQ Email,1
90,SF,2
90,Veeva Email,3
90,Medscape Email,4
90,EDH Alert,5
90,Medscape Alert,6
91,HQ Email,1
91,SF,2
91,Veeva Email,3
91,Medscape Email,4
91,EDH Alert,5
91,Medscape Alert,6
92,HQ Email,1
92,SF,2
92,Veeva Email,3
92,Medscape Email,4
92,EDH Alert,5
92,Medscape Alert,6
93,HQ Email,1
93,SF,2
93,Veeva Email,3
93,Medscape Email,4
93,EDH Alert,5
93,Medscape Alert,6
94,HQ Email,1
94,SF,2
94,Veeva Email,3
94,Medscape Email,4
94,EDH Alert,5
94,Medscape Alert,6
95,HQ Email,1
95,SF,2
95,Veeva Email,3
95,Medscape Email,4
95,EDH Alert,5
95,Medscape Alert,6
96,HQ Email,1
96,SF,2
96,Veeva Email,3
96,Medscape Email,4
96,EDH Alert,5
96,Medscape Alert,6
97,HQ Email,1
97,SF,2
97,Veeva Email,3
97,Medscape Email,4
97,EDH Alert,5
97,Medscape Alert,6
98,HQ Email,1
98,SF,2
98,Veeva Email,3
98,Medscape Email,4
98,EDH Alert,5
98,Medscape Alert,6
99,HQ Email,1
99,SF,2
99,Veeva Email,3
99,Medscape Email,4
99,EDH Alert,5
99,Medscape Alert,6
100,HQ Email,1
100,SF,2
100,Veeva Email,3
100,Medscape Email,4
100,EDH Alert,5
100,Medscape Alert,6
101,HQ Email,1
101,SF,2
101,Veeva Email,3
101,Medscape Email,4
101,EDH Alert,5
101,Medscape Alert,6
102,HQ Email,1
102,SF,2
102,Veeva Email,3
102,Medscape Email,4
102,EDH Alert,5
102,Medscape Alert,6
103,HQ Email,1
103,SF,2
103,Veeva Email,3
103,Medscape Email,4
103,EDH Alert,5
103,Medscape Alert,6
104,HQ Email,1
104,SF,2
104,Veeva Email,3
104,Medscape Email,4
104,EDH Alert,5
104,Medscape Alert,6
105,HQ Email,1
105,SF,2
105,Veeva Email,3
105,Medscape Email,4
105,EDH Alert,5
105,Medscape Alert,6
106,HQ Email,1
106,SF,2
106,Veeva Email,3
106,Medscape Email,4
106,EDH Alert,5
106,Medscape Alert,6
107,HQ Email,1
107,SF,2
107,Veeva Email,3
107,Medscape Email,4
107,EDH Alert,5
107,Medscape Alert,6
108,HQ Email,1
108,SF,2
108,Veeva Email,3
108,Medscape Email,4
108,EDH Alert,5
108,Medscape Alert,6
109,HQ Email,1
109,SF,2
109,Veeva Email,3
109,Medscape Email,4
109,EDH Alert,5
109,Medscape Alert,6
110,HQ Email,1
110,SF,2
110,Veeva Email,3
110,Medscape Email,4
110,EDH Alert,5
110,Medscape Alert,6
111,HQ Email,1
111,SF,2
111,Veeva Email,3
111,Medscape Email,4
111,EDH Alert,5
111,Medscape Alert,6
112,HQ Email,1
112,SF,2
112,Veeva Email,3
112,Medscape Email,4
112,EDH Alert,5
112,Medscape Alert,6
113,HQ Email,1
113,SF,2
113,Veeva Email,3
113,Medscape Email,4
113,EDH Alert,5
113,Medscape Alert,6
114,HQ Email,1
114,SF,2
114,Veeva Email,3
114,Medscape Email,4
114,EDH Alert,5
114,Medscape Alert,6
115,HQ Email,1
115,SF,2
115,Veeva Email,3
115,Medscape Email,4
115,EDH Alert,5
115,Medscape Alert,6
116,HQ Email,1
116,SF,2
116,Veeva Email,3
116,Medscape Email,4
116,EDH Alert,5
116,Medscape Alert,6
117,HQ Email,1
117,SF,2
117,Veeva Email,3
117,Medscape Email,4
117,EDH Alert,5
117,Medscape Alert,6
118,HQ Email,1
118,SF,2
118,Veeva Email,3
118,Medscape Email,4
118,EDH Alert,5
118,Medscape Alert,6
119,HQ Email,1
119,SF,2
119,Veeva Email,3
119,Medscape Email,4
119,EDH Alert,5
119,Medscape Alert,6
120,HQ Email,1
120,SF,2
120,Veeva Email,3
120,Medscape Email,4
120,EDH Alert,5
120,Medscape Alert,6
121,HQ Email,1
121,SF,2
121,Veeva Email,3
121,Medscape Email,4
121,EDH Alert,5
121,Medscape Alert,6
122,HQ Email,1
122,SF,2
122,Veeva Email,3
122,Medscape Email,4
122,EDH Alert,5
122,Medscape Alert,6
123,HQ Email,1
123,SF,2
123,Veeva Email,3
123,Medscape Email,4
123,EDH Alert,5
123,Medscape Alert,6
124,HQ Email,1
124,SF,2
124,Veeva Email,3
124,Medscape Email,4
124,EDH Alert,5
124,Medscape Alert,6
125,HQ Email,1
125,SF,2
125,Veeva Email,3
125,Medscape Email,4
125,EDH Alert,5
125,Medscape Alert,6
126,HQ Email,1
126,SF,2
126,Veeva Email,3
126,Medscape Email,4
126,EDH Alert,5
126,Medscape Alert,6
127,HQ Email,1
127,SF,2
127,Veeva Email,3
127,Medscape Email,4
127,EDH Alert,5
127,Medscape Alert,6
128,HQ Email,1
128,SF,2
128,Veeva Email,3
128,Medscape Email,4
128,EDH Alert,5
128,Medscape Alert,6
129,HQ Email,1
129,SF,2
129,Veeva Email,3
129,Medscape Email,4
129,EDH Alert,5
129,Medscape Alert,6
130,HQ Email,1
130,SF,2
130,Veeva Email,3
130,Medscape Email,4
130,EDH Alert,5
130,Medscape Alert,6
131,HQ Email,1
131,SF,2
131,Veeva Email,3
131,Medscape Email,4
131,EDH Alert,5
131,Medscape Alert,6
132,HQ Email,1
132,SF,2
132,Veeva Email,3
132,Medscape Email,4
132,EDH Alert,5
132,Medscape Alert,6
133,HQ Email,1
133,SF,2
133,Veeva Email,3
133,Medscape Email,4
133,EDH Alert,5
133,Medscape Alert,6
134,HQ Email,1
134,SF,2
134,Veeva Email,3
134,Medscape Email,4
134,EDH Alert,5
134,Medscape Alert,6
135,HQ Email,1
135,SF,2
135,Veeva Email,3
135,Medscape Email,4
135,EDH Alert,5
135,Medscape Alert,6
136,HQ Email,1
136,SF,2
136,Veeva Email,3
136,Medscape Email,4
136,EDH Alert,5
136,Medscape Alert,6
137,HQ Email,1
137,SF,2
137,Veeva Email,3
137,Medscape Email,4
137,EDH Alert,5
137,Medscape Alert,6
138,HQ Email,1
138,SF,2
138,Veeva Email,3
138,Medscape Email,4
138,EDH Alert,5
138,Medscape Alert,6
139,HQ Email,1
139,SF,2
139,Veeva Email,3
139,Medscape Email,4
139,EDH Alert,5
139,Medscape Alert,6
140,HQ Email,1
140,SF,2
140,Veeva Email,3
140,Medscape Email,4
140,EDH Alert,5
140,Medscape Alert,6
141,HQ Email,1
141,SF,2
141,Veeva Email,3
141,Medscape Email,4
141,EDH Alert,5
141,Medscape Alert,6
142,HQ Email,1
142,SF,2
142,Veeva Email,3
142,Medscape Email,4
142,EDH Alert,5
142,Medscape Alert,6
143,HQ Email,1
143,SF,2
143,Veeva Email,3
143,Medscape Email,4
143,EDH Alert,5
143,Medscape Alert,6
144,HQ Email,1
144,SF,2
144,Veeva Email,3
144,Medscape Email,4
144,EDH Alert,5
144,Medscape Alert,6
145,HQ Email,1
145,SF,2
145,Veeva Email,3
145,Medscape Email,4
145,EDH Alert,5
145,Medscape Alert,6
146,HQ Email,1
146,SF,2
146,Veeva Email,3
146,Medscape Email,4
146,EDH Alert,5
146,Medscape Alert,6
147,HQ Email,1
147,SF,2
147,Veeva Email,3
147,Medscape Email,4
147,EDH Alert,5
147,Medscape Alert,6
148,HQ Email,1
148,SF,2
148,Veeva Email,3
148,Medscape Email,4
148,EDH Alert,5
148,Medscape Alert,6
149,HQ Email,1
149,SF,2
149,Veeva Email,3
149,Medscape Email,4
149,EDH Alert,5
149,Medscape Alert,6
150,HQ Email,1
150,SF,2
150,Veeva Email,3
150,Medscape Email,4
150,EDH Alert,5
150,Medscape Alert,6
151,HQ Email,1
151,SF,2
151,Veeva Email,3
151,Medscape Email,4
151,EDH Alert,5
151,Medscape Alert,6
152,HQ Email,1
152,SF,2
152,Veeva Email,3
152,Medscape Email,4
152,EDH Alert,5
152,Medscape Alert,6
153,HQ Email,1
153,SF,2
153,Veeva Email,3
153,Medscape Email,4
153,EDH Alert,5
153,Medscape Alert,6
154,HQ Email,1
154,SF,2
154,Veeva Email,3
154,Medscape Email,4
154,EDH Alert,5
154,Medscape Alert,6
155,HQ Email,1
155,SF,2
155,Veeva Email,3
155,Medscape Email,4
155,EDH Alert,5
155,Medscape Alert,6
156,HQ Email,1
156,SF,2
156,Veeva Email,3
156,Medscape Email,4
156,EDH Alert,5
156,Medscape Alert,6
157,HQ Email,1
157,SF,2
157,Veeva Email,3
157,Medscape Email,4
157,EDH Alert,5
157,Medscape Alert,6
158,HQ Email,1
158,SF,2
158,Veeva Email,3
158,Medscape Email,4
158,EDH Alert,5
158,Medscape Alert,6
159,HQ Email,1
159,SF,2
159,Veeva Email,3
159,Medscape Email,4
159,EDH Alert,5
159,Medscape Alert,6
160,HQ Email,1
160,SF,2
160,Veeva Email,3
160,Medscape Email,4
160,EDH Alert,5
160,Medscape Alert,6
161,HQ Email,1
161,SF,2
161,Veeva Email,3
161,Medscape Email,4
161,EDH Alert,5
161,Medscape Alert,6
162,HQ Email,1
162,SF,2
162,Veeva Email,3
162,Medscape Email,4
162,EDH Alert,5
162,Medscape Alert,6
163,HQ Email,1
163,SF,2
163,Veeva Email,3
163,Medscape Email,4
163,EDH Alert,5
163,Medscape Alert,6
164,HQ Email,1
164,SF,2
164,Veeva Email,3
164,Medscape Email,4
164,EDH Alert,5
164,Medscape Alert,6
165,HQ Email,1
165,SF,2
165,Veeva Email,3
165,Medscape Email,4
165,EDH Alert,5
165,Medscape Alert,6
166,HQ Email,1
166,SF,2
166,Veeva Email,3
166,Medscape Email,4
166,EDH Alert,5
166,Medscape Alert,6
167,HQ Email,1
167,SF,2
167,Veeva Email,3
167,Medscape Email,4
167,EDH Alert,5
167,Medscape Alert,6
168,HQ Email,1
168,SF,2
168,Veeva Email,3
168,Medscape Email,4
168,EDH Alert,5
168,Medscape Alert,6
169,HQ Email,1
169,SF,2
169,Veeva Email,3
169,Medscape Email,4
169,EDH Alert,5
169,Medscape Alert,6
170,HQ Email,1
170,SF,2
170,Veeva Email,3
170,Medscape Email,4
170,EDH Alert,5
170,Medscape Alert,6
171,HQ Email,1
171,SF,2
171,Veeva Email,3
171,Medscape Email,4
171,EDH Alert,5
171,Medscape Alert,6
172,HQ Email,1
172,SF,2
172,Veeva Email,3
172,Medscape Email,4
172,EDH Alert,5
172,Medscape Alert,6
173,HQ Email,1
173,SF,2
173,Veeva Email,3
173,Medscape Email,4
173,EDH Alert,5
173,Medscape Alert,6
174,HQ Email,1
174,SF,2
174,Veeva Email,3
174,Medscape Email,4
174,EDH Alert,5
174,Medscape Alert,6
175,HQ Email,1
175,SF,2
175,Veeva Email,3
175,Medscape Email,4
175,EDH Alert,5
175,Medscape Alert,6
176,HQ Email,1
176,SF,2
176,Veeva Email,3
176,Medscape Email,4
176,EDH Alert,5
176,Medscape Alert,6
177,HQ Email,1
177,SF,2
177,Veeva Email,3
177,Medscape Email,4
177,EDH Alert,5
177,Medscape Alert,6
178,HQ Email,1
178,SF,2
178,Veeva Email,3
178,Medscape Email,4
178,EDH Alert,5
178,Medscape Alert,6
179,HQ Email,1
179,SF,2
179,Veeva Email,3
179,Medscape Email,4
179,EDH Alert,5
179,Medscape Alert,6
180,HQ Email,1
180,SF,2
180,Veeva Email,3
180,Medscape Email,4
180,EDH Alert,5
180,Medscape Alert,6
181,HQ Email,1
181,SF,2
181,Veeva Email,3
181,Medscape Email,4
181,EDH Alert,5
181,Medscape Alert,6
182,HQ Email,1
182,SF,2
182,Veeva Email,3
182,Medscape Email,4
182,EDH Alert,5
182,Medscape Alert,6
183,HQ Email,1
183,SF,2
183,Veeva Email,3
183,Medscape Email,4
183,EDH Alert,5
183,Medscape Alert,6
184,HQ Email,1
184,SF,2
184,Veeva Email,3
184,Medscape Email,4
184,EDH Alert,5
184,Medscape Alert,6
185,HQ Email,1
185,SF,2
185,Veeva Email,3
185,Medscape Email,4
185,EDH Alert,5
185,Medscape Alert,6
186,HQ Email,1
186,SF,2
186,Veeva Email,3
186,Medscape Email,4
186,EDH Alert,5
186,Medscape Alert,6
187,HQ Email,1
187,SF,2
187,Veeva Email,3
187,Medscape Email,4
187,EDH Alert,5
187,Medscape Alert,6
188,HQ Email,1
188,SF,2
188,Veeva Email,3
188,Medscape Email,4
188,EDH Alert,5
188,Medscape Alert,6
189,HQ Email,1
189,SF,2
189,Veeva Email,3
189,Medscape Email,4
189,EDH Alert,5
189,Medscape Alert,6
190,HQ Email,1
190,SF,2
190,Veeva Email,3
190,Medscape Email,4
190,EDH Alert,5
190,Medscape Alert,6
191,HQ Email,1
191,SF,2
191,Veeva Email,3
191,Medscape Email,4
191,EDH Alert,5
191,Medscape Alert,6
192,HQ Email,1
192,SF,2
192,Veeva Email,3
192,Medscape Email,4
192,EDH Alert,5
192,Medscape Alert,6
193,HQ Email,1
193,SF,2
193,Veeva Email,3
193,Medscape Email,4
193,EDH Alert,5
193,Medscape Alert,6
194,HQ Email,1
194,SF,2
194,Veeva Email,3
194,Medscape Email,4
194,EDH Alert,5
194,Medscape Alert,6
195,HQ Email,1
195,SF,2
195,Veeva Email,3
195,Medscape Email,4
195,EDH Alert,5
195,Medscape Alert,6
196,HQ Email,1
196,SF,2
196,Veeva Email,3
196,Medscape Email,4
196,EDH Alert,5
196,Medscape Alert,6
197,HQ Email,1
197,SF,2
197,Veeva Email,3
197,Medscape Email,4
197,EDH Alert,5
197,Medscape Alert,6
198,HQ Email,1
198,SF,2
198,Veeva Email,3
198,Medscape Email,4
198,EDH Alert,5
198,Medscape Alert,6
199,HQ Email,1
199,SF,2
199,Veeva Email,3
199,Medscape Email,4
199,EDH Alert,5
199,Medscape Alert,6
200,HQ Email,1
200,SF,2
200,Veeva Email,3
200,Medscape Email,4
200,EDH Alert,5
200,Medscape Alert,6
201,HQ Email,1
201,SF,2
201,Veeva Email,3
201,Medscape Email,4
201,EDH Alert,5
201,Medscape Alert,6
202,HQ Email,1
202,SF,2
202,Veeva Email,3
202,Medscape Email,4
202,EDH Alert,5
202,Medscape Alert,6
203,HQ Email,1
203,SF,2
203,Veeva Email,3
203,Medscape Email,4
203,EDH Alert,5
203,Medscape Alert,6
204,HQ Email,1
204,SF,2
204,Veeva Email,3
204,Medscape Email,4
204,EDH Alert,5
204,Medscape Alert,6
205,HQ Email,1
205,SF,2
205,Veeva Email,3
205,Medscape Email,4
205,EDH Alert,5
205,Medscape Alert,6
206,HQ Email,1
206,SF,2
206,Veeva Email,3
206,Medscape Email,4
206,EDH Alert,5
206,Medscape Alert,6
207,HQ Email,1
207,SF,2
207,Veeva Email,3
207,Medscape Email,4
207,EDH Alert,5
207,Medscape Alert,6
208,HQ Email,1
208,SF,2
208,Veeva Email,3
208,Medscape Email,4
208,EDH Alert,5
208,Medscape Alert,6
209,HQ Email,1
209,SF,2
209,Veeva Email,3
209,Medscape Email,4
209,EDH Alert,5
209,Medscape Alert,6
210,HQ Email,1
210,SF,2
210,Veeva Email,3
210,Medscape Email,4
210,EDH Alert,5
210,Medscape Alert,6
211,HQ Email,1
211,SF,2
211,Veeva Email,3
211,Medscape Email,4
211,EDH Alert,5
211,Medscape Alert,6
212,HQ Email,1
212,SF,2
212,Veeva Email,3
212,Medscape Email,4
212,EDH Alert,5
212,Medscape Alert,6
213,HQ Email,1
213,SF,2
213,Veeva Email,3
213,Medscape Email,4
213,EDH Alert,5
213,Medscape Alert,6
214,HQ Email,1
214,SF,2
214,Veeva Email,3
214,Medscape Email,4
214,EDH Alert,5
214,Medscape Alert,6
215,HQ Email,1
215,SF,2
215,Veeva Email,3
215,Medscape Email,4
215,EDH Alert,5
215,Medscape Alert,6
216,HQ Email,1
216,SF,2
216,Veeva Email,3
216,Medscape Email,4
216,EDH Alert,5
216,Medscape Alert,6
217,HQ Email,1
217,SF,2
217,Veeva Email,3
217,Medscape Email,4
217,EDH Alert,5
217,Medscape Alert,6
218,HQ Email,1
218,SF,2
218,Veeva Email,3
218,Medscape Email,4
218,EDH Alert,5
218,Medscape Alert,6
219,HQ Email,1
219,SF,2
219,Veeva Email,3
219,Medscape Email,4
219,EDH Alert,5
219,Medscape Alert,6
220,HQ Email,1
220,SF,2
220,Veeva Email,3
220,Medscape Email,4
220,EDH Alert,5
220,Medscape Alert,6
221,HQ Email,1
221,SF,2
221,Veeva Email,3
221,Medscape Email,4
221,EDH Alert,5
221,Medscape Alert,6
222,HQ Email,1
222,SF,2
222,Veeva Email,3
222,Medscape Email,4
222,EDH Alert,5
222,Medscape Alert,6
223,HQ Email,1
223,SF,2
223,Veeva Email,3
223,Medscape Email,4
223,EDH Alert,5
223,Medscape Alert,6
224,HQ Email,1
224,SF,2
224,Veeva Email,3
224,Medscape Email,4
224,EDH Alert,5
224,Medscape Alert,6
225,HQ Email,1
225,SF,2
225,Veeva Email,3
225,Medscape Email,4
225,EDH Alert,5
225,Medscape Alert,6
226,HQ Email,1
226,SF,2
