prompt,completion
The thread at <url> ground to a halt. Any way to get this implemented?,neutral
I have to protest that I find it rather meaningless to present arguments on the talk page for edits which are then blankly reverted by the likes of User:Historicar without explanation or discussion. Any suggestions for a more formal process or other remedies?,neutral
"Your recent post to the straw poll at <url> may need some clarification. Did you intend ""support going to Arbcomm"" to be a vote for the ""Death"" entry?",polite
"Hello, I noticed you recently did a lot of work on the ''<url>'' page. I was wondering if you know of the origin of the word ""Nassarius"" - its etymology/ what is it named after?",neutral
"Fair nuff. Anyhow, somebody's birthday is coming up, is it not?",neutral
When we have a GLAM barnstar then you get it ..... just for the Hindi article! I cannot explain why you needed to create a Derby page in Hindi - surely it should be there already?,neutral
"It's not a ban, it's an indefinite block. He'll know about it when he tries to edit and he'll know that it was me that blocked him, so what's the pint of telling him again on his talk page?",impolite
Do we need to go that far? Why not remove the info and lock the article for a while to prevent immediate reinsertion like what happened to <url>?,neutral
Thanks for your advice on my problems with categories. Perhaps someone should change the instructions?,polite
"Hi- The Magnificent Clean-keeper- I note that you recently removed a contribution I made to the <url> page, citing lack of ""notability"" as the reason. Iu2019m not saying you where wrong to do so (notability is an important criteria in the Wiki project), however, since the definition of ""notability"" is hard to pin down, could we discuss this particular instance, in greater detail, at some point?",impolite
"You removed the border issue coverage in <url>, and your explanation was that it's covered in another article. Where is it covered?",impolite
I see you've created the page <url>. Are you by any chance related to the Hondo Hurricane?,neutral
What?!  Why did you resolve this without dealing with the User I mentioned?,impolite
Why are you uploading/changing badge files here? Surely you should just upload them to Commons then list the wikipedia version for deletion?,impolite
"I would like to do the same for <url>, a Houston neighborhood. How do I do this?",neutral
"No, just admire them from a distance of a couple of centuries! You?",neutral
Don't add any more trash to the article. Got it?,impolite
<url> is directly from the <url> website. However it doesn't have any copyright notice should I still flag it as a copyvio?,neutral
"Oh, okay. <url> should be placed as a ""see also"" on <url>, correct?",neutral
"Hi there again, just reminding you that the review must be archived over at WP:Biography as well, not only marked as such in the article Talk page. Do you think Markus's last concern was addressed to his satisfaction?",polite
"No more saga! Help me by keeping this page the way it is right now, alright?",impolite
"<url> <url> version, but mighty all the same. Am I wrong?",impolite
"As far as I can tell, the personal attacks against editors has indeed subsided.  Are you indicating you are aware of recent incidents?",neutral
"Were you aware this guys was publishing private phone numbers? Even though it's an IP, do you think something longer than 31 hours is warranted?",impolite
I'm really seeing no evidence that this image is free. Are you able to shed any light on the issue?,neutral
Hello? You going to answer this?,impolite
"If you are refering to the recent work I have been doing, I think most of it has just been fixing small format errors. Could you do me a favor and let me know what edit I have mistakenly marked as '''m'''inor so that I can watch out for mistakenly labeling such edits as '''m'''inor in the future?",impolite
"Thankyou Fail, but the template I want is the one that goes at the bottom of the article and produces a message that goes something like 'This article is a copy of the (X) article in the German wikipedia, version 21 December 2009 10:04.' What is that template?",neutral
"I noticed you have improved the ""human rights"" section on the article <url>. Could you update the main article: <url>?",neutral
The block you created on April 18th has expired and a new rash of vandalism has broken out.  Would you mind blocking this school for even longer than 1 month?,neutral
"Actually, I am concerned that you had completely removed verifiable facts of which I had included the references.  Would you please explain why you had removed the entire section I wrote on Collection Agencies in Canada?",impolite
"The effect of these edits has been to circumvent policy and process to move the above article to non-verified, non-English article names without a discussion or consensus. Who will put this right?",neutral
"But someone actually remade the article here, http://en.wikipedia.org/wiki/User:DOSGuy/Joe_Siegler it's a subset of someone's user profile, but they are essentially circumventing a deleted article. Is this against wikipedia policy?",polite
OK done. When do I get my money?,neutral
"Hey again, more about categories - if we really need a <url>, it should be a sub-category of <url>, and then you don't need both categories on the same page, just the Justinian one. See?",neutral
"Again samething with the second site, again outside of taking they're word for it how do we know they are are right.  What is your opinion on the 2 logos in the forum discussion think they were made up?",impolite
"I have your CH2.js installed, but I forgot what it does.  What does it do?",neutral
"The text of your warning <url> made me smile. Did you really think that if China got a new Prime Minister as of today, and a female one at that, it wouldn't be all over the news, and the link to this person would be red?",neutral
Thank you for correcting the error on my user page. I have a question how does one go about archiving his talk history?,neutral
"Hey Love, as you wish, if you  have any suggestions about my section, let me know.  Is English a second language for you?",impolite
yes i'm the one who is ashish. are you also on ukmix?,neutral
"There is a lot to learn - but to date I have concentrated on content, followed by style. If I have to keep removing silly comments, though, I will get discouraged - is there an easy way to reverse somebody's goofing?",impolite
Okay. How's what I wrote on his talk page look?,impolite
I know you're disappointed.  What is the plan?,impolite
I have no clue.  Isn't there a WikiProject on radio stations you can ask?,neutral
I'm still scratching my head. How can this be?,neutral
"Ok, thanks for that. Could you please tell me why the Kiwa page is giving warning about notability and citations, where as for example this one <url> is not?",polite
"I had an editorial dispute with a user called <url><, but I'm not responding to him anymore as it seems to escalate into heated arguments. If he keeps messaging, would it be ok if I got back in touch with you and you had a word with him?",neutral
The press is calling you bisexual.  Did you know that?,neutral
Indeed. I trust you have already watchlisted this editor?,polite
I thought that only section tags go into sections while the article tags go to the top of the page so they could serve it's purpose. Is there a Wikipedia guideline that can substantiate your revert?,impolite
"Why did you rollback <url>? It appears by a quick scan that the user was correct re <url> - but regardless seemed a good faith edit, one certainly not worthy of a vandalism rollback I would think?",impolite
"Despite our long-standing disagreement, I have no argument with you <url>. However, can I suggest you use a less opaque edit summary than  ''added info'' when doing something that is nonetheless controversial?",neutral
"On <url> about the Chinese sex imbalance, you accused either the OP or the first responder (me) of <url>. Could you explain why you thought either of us was advocating, opining, or recruiting, in a way that diminished the quality of the reference desk?",impolite
"The Hitchin-related hoax claims by <url> seem to have led to a rather precipitate response, considering that he has only been an editor for a few days.  Is there something going on here that isn't obvious?",impolite
It has been a pleasure working with you on the Burma campaign. What is your source for the Japanese information you have been adding as the books I have been reading on the subject are all from a British or American perspective?,polite
"Wait, Rob got blocked again? Why?",neutral
"Advice please (or do I approach my adopter about this?). I am tempted to put in the RN article that Lynn once appeared in a Leonard ad with the caption: 'Who else would listen to me bitch?"" (I could try and find the issue where the ad appeared), but although relevant to the article, I suspect this could be seen as puffery, considering I started the article?",neutral
That sounds like it may be an improvement. What are those six articles?,neutral
"For one phonological citation I need an uppercase ""I"", as in ""Italy"", with _serifs_ to distinguish it from lowercase L.  You advised ""The Classic skin uses a serifed font, if you can accept a personal solution.""  I'm sorry, I don't catch your meaning.  Where do I find the Classic skin, what is a personal solution, and why wouldn't I accept it?",neutral
"Hi, You stated the editor is inactive, yet the editor is stalking me through MY CONTRIBUTIONS and reverting my entries and the editor left a message on the top of my TALK page, so why would you not block them ?  You didn't even give them a warning ?",neutral
Thank you for catching Known for Know.  How did you happen to look at the article?,neutral
"Also, all in all, I think Batman should be changed to <url>, not <url>, as the latter refers to those with superhuman powers or abilities, which he lacks. Thoughts?",neutral
Thanks for continuing to look over the article.  Do you know or do you know anyone that knows anything about the <url> or the <url>?,polite
Hi Dan. Is the page <url> still needed/useful?,polite
"Why are you trying to delete my user page, literally less than a minute after I began it. You are allowed one so why not me?",neutral
This is a toughy. Do you think it could be integrated with <url>?,neutral
"""Odder"" in what sense? Also, why are you still delaying?",impolite
Thank you. Was it anything in particular?,neutral
So it seems we both already know the problems with the current logo and the SVG one. What can I do to help you?,neutral
"Hey, long time no seeing! How's stuff?",polite
Sigh. Did arbcomm teach you nothing?,impolite
"I'll unblock you if you give me some confirmation you've understood this and you are prepared to discuss the article through the proper channels, calmly and politely. So, cool down please, okay?",polite
Hello. Is now <url> ready for FAC?,neutral
"As I've only ever tagged one page for speedy deletion before (and that was an obvious cut-and-paste copyvio), I just want to make sure I tagged it properly.  Was db-1 the right tag for <url>?",polite
I noticed you've put in quite a few posts in the gun politics talk pages. I'm just wondering do you have an interest in firearms or just the politics behind them and their use?,polite
Is there really any serious debate that Mobile IE is remotely comparable to Safari mobile? What source would be acceptable to show this?,impolite
"Hi, I think that you do a fantastic job on DELSORT. However, I was just wondering if, when you add to Schools, whether you would be good enough to add them to the appropriate section, please?",polite
"""Office actions will be clearly indicated both during and after to prevent ambiguities."" -- <url>. So then does that mean it was probably DMCA?",polite
"I'm sorry, but I don't see the value in having different criteria for two versions of the same list, one sorted by name and one sorted by nationality. Every other list and article on space travel uses the altitude definition, why would the sub-list sorted by nationality be different?",impolite
"Call me a little dense.  Do you mean there has to be the same number of Songs, articles, albums, and bio's on the portal for the portal to work?",neutral
"You made a ""minor change"" to <url>; while I agree that it should have been reverted, I do not think a change of over 2000 is minor.  Can you explain to me the rules for minor changes?",neutral
Don't stop editing. Maybe a request at <url> would be of use?,neutral
"Speaking of FPC closures, is it common practice to close the likes of the Emu feeding video or the White Ibis, which had nothing but weak supports and supports (not enough total votes, but that was all) as ""Not Promoted""? Isn't that what the ""Nominations 7 days or older - Decision Time"" section is for?",impolite
"I noticed, that for users warned before, Huggle still uses level 1 warning. Is there anything I can do?",neutral
"""''Images with iconic status or historical importance: As subjects of commentary.''"". Listen, it's just trivial to look up, could you take the care of actually reading these policies before arguing over them?",impolite
"I'm on it. Instead, could I persuade you to offer comments on the FAC page of <url>?",impolite
That image is CC and has a link to its source. What is it missing?,polite
"I was checking out the article on the Unitarian Society in Fall River that you contributed to, and there's a lot that was wrong.  I want to reconcile what you know with what I know so we can get this article right... a little help here?",impolite
I give that a huge second. Why haven't you signed onto the wikiproject yet?,neutral
thanks for the welcome! I have a question... how come you can't edit the article about Whales?,polite
You may want to comment on the A7 to ?2 graph with 4 lines. I suspect it is nonsense - but what are your thoughts on that folding option?,neutral
"How can anyone analyze the page if you keep deleting the content? <url> 01:28, 18 December 2006 (UTC)  Are you afraid someone might vote for it?",impolite
"Hi there. On a tangential note, would you happen to be <person>?",neutral
"Why can't you just remove the offending phase and repost your comment?  This resolves the situation, does it not?",impolite
"Hi, Why were the images <url> from the infobox in <url>? Is this part of an MOS or something?",neutral
"Remember we had the whole edit warring on Edelsten article a while back? I find it curious that a recently created account posted this <url> as their first contribution basically supporting Edelsten's personal website (which when you look would hardly pass <url>, I looked it at this site a while back in research and found some of the positive claims could not be verified) and wanting a complete rewrite of the article... sound familiar?",neutral
Thanks for identifying it as self created. What license do you release it under?,neutral
Thanks for the cleanup.  Why did you delink the songs and Weird Al's album?,polite
There's so much of work related to Prague: I once created <url> but every bridge in Prague deserves an article. Why not work on this or other topics?,neutral
"AnonEMouse, I have noticed today that there are many recent comments on the <url> talk page that do not show in ""history"". How can that happen?",neutral
Hello. Can you please pass the pilot whale article?,polite
You're a troll. Why not go somewhere else?,impolite
"Very strange, how come I can see all the other posts? How do I clear the cache - do you know?",neutral
"I think a separate security section heading is required in <url> article as it gets prime billing in the introduction, but then has references (and criticisms) scattered throughout the rest of the article.  Do you support this?",neutral
Hi again. How do you become an administrator?,neutral
"If she's been in a lot of porn movies, doesn't that show she is famous. Can't you undelete it and then let it go to a AfD discussion?",impolite
"This editor, blocked as a sock of <person>, is currently requesting an unblock, and appears to want your particular attention. Would you mind dropping by?",impolite
Helllo?????,impolite
Thanks for the note about my work on the above line. Would you mind if I copied and pasted your version over to mine to work on?,polite
"Hey there. Do you mind if the Wells and Mendip Museum DYK you nominated ends up in the list of DYKs <url>, or would you rather it run sooner?",neutral
"I'm leaving <url> to Karanacs because I'm too close to the topic in bad ways.  I'm uncertain whether images are clear, so please drop a note on the FAC before Karanacs goes through on Tuesday?",polite
Okay. When will it start?,impolite
You have given your point by point rebuttals to my reasons several times. How can you say I haven't provided my reasoning?,neutral
"Hmm, well I'll see before judging.  Does it also allow them to be listed from newest-to-oldest and separated into Russian and English references?",neutral
It just doesn't make sense (to me) that we use a manga spelling for one name but a Simmons' spelling for another. Can't we just go along with Simmons on this one?,neutral
"That's still not the original source, and after searching through a few pages on Flickr, I'm assuming the original is all rights reserved anyway. Can I ask why you believe it is public domain?",impolite
"Well perhaps I am ""out of touch"".  Can you please point me to where a new consensus has formed on this issue?",impolite
The file clearly states this is an image from a poster. Since when does this require any additional explanation?,neutral
Its good the only changes I would make are putting Jansen and Venglos under the McCann era. Maybe Celtic and the wars should have a heading of its own?,neutral
"I'm going to walk you through this one very simply. Let's start here: Is there currently, or has there ever been a cartoon broadcast on television by the name of the Breakfast Monkey?",impolite
I noticed you're setting up s-line for DART but having trouble with the termini. Can I be of help?,polite
...Ronald Reagan is dead??,neutral
"Which was, to my knowledge, notabilified. Is that a word?",impolite
Do I get a reference to my comment? Show me where I refuse to provide evidence backing up my changes?,impolite
Quick question.  In your opinion would the Dromore by election meet notability?,neutral
"I'm also a bit weary of this discussion, and I'm afraid the central argument stands. But perhaps if you wish to continue it, you'd do a bit of the searching, and report your results?",neutral
I added one. Does it look alright?,neutral
"The PressTV references in Wikipedia's ""Turkey-PKK Conflict"" article are not the same, but the titles are wrong.  If you have time, can you correct the titles?",polite
Nice.  What SVG editor did you use?,polite
"Thank you that clarifies matters. Has the image been listed for deletion on commons, or should I do so?",polite
1900 articles! Is this a full-time job?,neutral
"Email from the Darkshado guy complaining about you adding him to the spamlist. I searched the site and couldn't find any of our articles replicated there; has he removed them, or what?",impolite
"Yeah, that poor old schlub prolly woulda been me, haha! What a game though, eh?",neutral
Grappler-I'm not sure if this article is OK now or not. What do you think?,neutral
So what exactly was the point in moving 'Birmingham New Street Station' to 'Birmingham New Street railway station' I've never heard it called that before nor any other of the Birmingham stations. Is there any need to add 'railway' to the title of a station unless it is being disambiguated from a bus station or something?,impolite
"So, what do you think of it? Interesting guy, isn't he?",neutral
This is not a suitable candidate for CSD as it asserts notability. May I suggest you consider a <url>?,polite
"And, in case I forget, it is what happens when I sign with four tildes. See?",impolite
"Hi, I understand that the WP:COI rules would still apply, regardless of username. Could you kindly approve the change in my user name from cecn to funshine?",neutral
"Most of the editors who would care about the deletion of KiK's threads are the ones who would agree with him, so it's pointless to warn them.  Hell ... come to think of it, hasn't KiK been all over their talk pages, with them high-fiving each other?",polite
"PS, I would seriously like an answer to my question above. What is your native language and where do you come from?",neutral
"I was thinking on it, but one question: I see several articles either deleted or promoted to FA after the oldid the sweeps uses. I'm assuming we simply ignore these?",neutral
"What, my dear, will change the fact of your poor anargumentative technique??",impolite
"Read beyond the obvious. What is that essay saying when you remove all referances to users under blocks, bans or other sanctions?",impolite
"Im the same as Hectorian, i had a look on the talk page history and the archive, and i cant see any interaction. Any ideas?",neutral
"Now I'm confused--did I miss something? Who was talking about G1, and who was talking about IP blocks?",impolite
"Great. I understand why you added the ref, but it wouldn't hurt to just wait until it has been peer-reviewed, would it?",impolite
"Upon further thought, maybe I could look through lists of deleted articles to see if any interest me and see if I can bring them back (with adequate sourcing). Do you know anything about that process?",neutral
"Thanks for the articles on South African cricket teams - I was planning to do them myself but I really appreciate that you've done them. By the way, where did you find the information on what regions the teams represent?",neutral
"So I got rid of it. Have a little faith in my good judgment, okay?",impolite
"I read his note, and you should know that as I responded to it and then you responded to me. So where did the doubt come in regarding that matter?",impolite
Hi again! Have you had a chance to get it lately?,neutral
"Hi Cmadler, I've written a new ALT hook at the <person> that I think addresses your concerns.  Could you sign off on the nomination?",polite
Really? When/where did that happen?,impolite
"I did notice that some articles linked to the ones I worked on are now missing, which leaves a link hanging.  If you're going to delete articles, shouldn't someone clean up these broken links?",impolite
"No worries, thanks for doing that. Nice to hear from you again - new username for 2013?",polite
"Greetings, and thank you for your cogent remarks at <url>.  Would you be interested in voting in the straw poll <url> as well?",polite
"Sorry, but i do not find ""double torpedo tunnels"" to be very good. Can you come up with something better?",impolite
"Hi David, you're good with images. Anything you can do to clean up <url> so it's useful on ITN?",neutral
"Mel, is the above comment from you?  If not, could you please respond?",neutral
I tried updating it to WP:DAB style but I got reverted. Can you use your magic there and explain to the user why we should follow MOS:DP and such?,polite
Do you really think it is necessary to do that? Could you not simply take my advice on board?,neutral
The links that I added were detailed images of all the aircraft that was listed in each entry. How does that make it spam?,impolite
"Hey, i noiced that the special number in the Quran is 19, and worship is also on the 19th baha'i month. Did i just discover a Baha'i prophecy?",neutral
"To whom are you referring, Hipicrite? Who has a ""secret opinion""?",impolite
I've made a start to putting the list in chart form at <url>.  Can you think of any other columns to add?,neutral
"Oh by the way I do drugs too, so we should get along together!  Friends?",neutral
Either <url> is really misinterpreting the guidelines or I missed out on something. Care to shed light here?,impolite
Hullo. How goes it?,neutral
"Thanks for the advice but that's why I remove the ""Thank you for your contributions"" on the welcoming template. Is that still okay to do?",polite
"I've steadily become more interested in getting this article up to FA, but I'm having trouble finding sources that actually analyze ''contemporary R&B'' instead of the entire <url> genre. Do you have any advice or would you be interested in working on it together?",neutral
"Hey, I noticed you protected the article <url> from being recreated. Will you be able to reverse that If I recreate the article with sourced, factual, real world content?",neutral
I must be missing something here.  Would you mind clarifying for me the nature of your extensive work on <url>?,polite
"The reason for the malfunctioning redirects is that the character immediately after ""REDIRECT"" is not an ordinary space, but a ""non-breaking space"", hex code 0xA0.  Out of curiosity: how did you manage to create them?",polite
"ok that was really confusing, I clicked on this link <url> and then cleaned the page but the page still exists, sso from what I understood if you put the ending ""/double redirect"" at the end of any article, you'll see how many redirects it has? is that right?",neutral
"Say what? And what does this have to do with ""Happy New Year"" and my pretty picture?",neutral
"I read the diff upside down or something... Glad someone is keeping an eye on me :) I'm mainly doing stuff over here <url> these days, what are you up to currently? Still concentrating on the Ui Imair?",neutral
"Thank you for the tip Javier. As I've never done a FL before, can you take a look after I've completed the list?",neutral
I have just put the article to peer review. Would you care to take a look?,polite
Hi. Is there any chance of getting <url> unblocked from making edits on Wikipedia?,polite
What are you having a problem with? Are you having trouble with the ssh authentication?,polite
It was based on the comments <url>. Do you have reason to believe otherwise?,neutral
Hm. Are you asking to be banned?,impolite
You appear to have created a duplicate of <person> at <person>. Is there any particular reason for this?,neutral
Just saw your edit on <url>. Could you tell me how does Croatian Glagolitic differ from other Glagolitics?,polite
"Your DYK hook for <url> is missing something. It says ""''Frank Bancroft managed the now-defunct Major League Baseball Providence Grays...''"" - maybe ""'''his''' now-defunct Major League Baseball '''team, the''' Providence Grays,...""?",neutral
"Also, what's the point on being adopted by another user? It sounds good and I'd like to be adopted, though I'd don't exactly know what I or the adopter would get out of it?",neutral
"Did you move it to the talk page? did youuse the ""<nowiki><person></nowiki> template, the section with <nowiki><person></nowiki> or if the entire article is unsourced by adding <nowiki><person></nowiki> or <nowiki><person></nowiki>""?",neutral
"I see you originally created this article, so maybe you can sort out what looks like some confusion. The article says that it was created by Diotisalvi, and that the church was known from at least 1113, but the <url> article says that he worked in the second half of the 12th century, and created the <url>, which started in 1152. Did he design both?",neutral
"Hm. Am I imagining things, or does <url> seem familiar?",impolite
"Why did you revert my edits on that page? You say it was unsourced but it was sourced, I put two references to two fair sources (not blogs nor politicaly bound), so why did you remove them?",impolite
I was thinking about creating a page about Nintendo eShop. And since you are a well trusted user I am asking you if you think that would just be deleted because there isn't enough information?,neutral
"You can sign and date tag your contributions with four tildes. A quick point: you give a range of 2880-3480, assuming 10% error, but I make 490 x 6.3 = 3087, so should not your range be nearer to 2780-3380?",polite
There's a nice section on funerals <url> but I'm not given a look at the contributors' page (p. 673) to see who J.B. is. Any chance your access is different?,neutral
"no problem. ic an hit it up through preferences seciton, right?",impolite
The founding date for <url> doesn't make sense. Which one should we use?,neutral
It is my understanding that I can clean up my own talk page. Is that not true?,neutral
"That's ""fucking consistent naming-schemers"", please.  Unless there's some actual reason for a) restriction to highways, b) infeasibly small stub categories, and c) inconsistent capitalisation?",neutral
I had no idea that I was such a rogue admin. Are you seriously suggesting that I need to be kicked off the project for closing a deletion debate?,impolite
If it were me I'd want to try and find out more about how/why this happened first before I continued to use that software. Have you asked at the talk page I mentioned above?,neutral
"I understood just fine, but wasn't at my computer. Are you in a hurry?",impolite
An AfD was started for that page before you speedy-nuked it. Could you close <url> please?,neutral
I just sent you an email. Did it work?,neutral
Yep. Ain't it fun when we agree?,impolite
"Hi, this will seem a little odd, but your name seems very familiar. Did you ever play an online game named <url> by chance?",neutral
"We have an ongoing problem with this article, it is stated that he is ""Irish born British"", where in reality he was Irish, even though the United Kingdom of Great Britain and Ireland existed back then, it is not a reason. Could you help resolve the issue one way or another?",neutral
"Ok, would you mind if I created a UK specific category and shoved all the UK articles into there?  I would suggest renaming the US category, and putting them both (and other countries) into 'Railway Companies' or similar?",polite
"... then you have to at least meet me half-way. For instance, ""''<url>'' described the episode as displaying ""an exhilarating flair for rapid change of comic gear"" and made commented positively on the scene."" Can you see the problem here?",impolite
I added mention of the river. The info for <url> says the picture was taken in <url>; is that city located on the river?,neutral
"Perhaps these articles should be nominated for deletion. A blue belt is far from a notable BJJ player; Google returns 594 results for him, many of which might not even be the Barry Ley in question; and as for the Blaggers article: I don't see any articles on the higher-selling books you mention, why does this one deserve it?",impolite
Thanks for adding that ref to <url>. I don't suppose your copy of Conway's says anything about the roles and fates of ''Schleswig-Holstein'' or ''Schleisen''?,polite
"Crap, I'm sorry, I didn't realize someone was working on it, and it's done now, sorry to get your hopes up. No dramas?",polite
"When you say ""thrown off"" articles which tend to be in math, the sciences, IT, etc., do you mean making them inaccurate? Or do you mean they were helpful in creating them?",impolite
I'm linking this to Fumiyo's. Are <url> and <url> among the bullies too?,neutral
Did you see the edit by Marrtel - <url> - to <url> ? Is that a reasonable change ?,neutral
What is your take on <url>?  And is there a guideline or policy stated somewhere that covers this?,neutral
"Hmmm, you are basically asking me to think positively despite evidence and knowing that over this issue none good faith on part of some users was showed in past, but ok, letxb4s see how it goes. The question then is: do you consider including the discussions with outside mediation participants that happend on those talk-pages (direktor, for exemple, has been very active and enthusiastic there lately) or only the in-mediation discussions are the ones that count?",neutral
"P.S. Am I allowed to remove any of this abuse from my pages, or will this result in further accussations from  <url> and attempts to get me discipled or banned?",impolite
Are you crazy down here?! What the heck is going on?,impolite
Re your remarks on the talk page of 9/11: '''I do not troll'''. Comprende?,impolite
"Hi, <url>. Do you have a suggestion as to how these article make Wikipedia better?",polite
I'm interested in why you reduced the columns from 5 to 2? Could you reply on my talk page please?,polite
"''SO!?!?'', what has it got to do with you?",impolite
I'm curious as to why you chose to <url> a full two minutes after my last comment?  Am I to take this as a sign you are no longer willing to discuss the issue?,neutral
I put plural women because in the storylines it states he falls for Detective Graves. He also hits on another older woman <url> but that wasn't notable enough to include.. is it best to keep it singular?,neutral
"The <url> page said that <url> will be shown on the <url> subchannels 26.5 and 26.6, and also on analog channel 48. It is also expected that The U Too will displace Me Too from analog channel 48. If that's the case, then, where do you suppose Me Too will end up? What new channel in Chicago will it be shown on?",neutral
"I thought that VAMOS section was dealing primarily with captions (perhaps a clearer wording is needed there?). Also, I have seen dates used as adjectives quite often - the ""1848 Revolution"", for example - where did you read about this rule?",polite
"Eastwood was born in 1930 and is 80 years old; according to the article, his career started in 1950s (perhaps 1954). How could it span 7 decades?",neutral
Thanks for <url>. Do you think you could do the same for <url> and <url>?,polite
"Of that <url> I just went down and overhauled, you and two <url> <url> were the only (active) Texans I could imagine being interested in getting the ball for a <url> rolling.  Interested?",neutral
"Sorry, what? Could you be more specific please?",neutral
"What about the whole ""Heroes as personal feifdom"" trip? Or are you ok with that?",impolite
"Hey there; I saw that you took the time to edit the Valletta article, but didn't remove user Jasalf's edit. How so?",polite
"Thanks for pointing out that ""undiscussed moves"" discussion, I hope something comes out of that - but it doesn't really look like it will.  I'm not sure what I'm looking for on the discussion page for <url> about this, what am I missing?",neutral
Wonderful! :) Do you particularly like to work on comics creators' articles?,polite
